id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
648587804094088553,FiDi Studio w/ Office by Anyplace - 11419,415840703,Anyplace,Manhattan,Financial District,40.70569,-74.00979,Entire home/apt,206,30,6,2023-08-13,0.30,35,77,3,
6670064,Charming High Ceiling Loft In Excellent Location,33386619,Ryan,Queens,Ditmars Steinway,40.77596,-73.90777,Entire home/apt,200,30,75,2023-11-10,0.72,1,365,21,
29901044,Brownstone Brooklyn Garden Apt Gem,20220433,Raul,Brooklyn,Cobble Hill,40.68566,-73.99917,Entire home/apt,230,30,1,2023-08-31,0.16,1,182,1,
2677779,Quaint Room,8083568,Favio,Queens,Jackson Heights,40.75123,-73.87435,Private room,50,30,70,2019-12-31,0.58,1,364,0,
50728514,Lovely huge 3 Bedrooms in Upper Westside Manhattan,15672224,Michael,Manhattan,Inwood,40.86358,-73.92961,Entire home/apt,,90,7,2023-12-01,0.23,1,87,1,
50720125,"Central, clean & cozy private 1-bedroom apartment",25233305,Akilah,Queens,Laurelton,40.67625,-73.73878,Entire home/apt,,30,24,2023-08-26,0.74,1,313,7,
908677070021981560,Williamsburg: Entire Home near Water,2393537,Jodi,Brooklyn,Williamsburg,40.70843921590327,-73.96747220220702,Private room,179,1,15,2024-02-25,4.64,1,148,15,OSE-STRREG-0000718
762485685708703023,2 Bedroom Premium Sky | Placemakr Wall Street,420415528,Placemakr Wall Street,Manhattan,Financial District,40.7047772,-74.0064252,Entire home/apt,722,1,25,2024-02-09,1.74,15,151,22,Exempt
1095493704426367177,Bright & Comfortable 4BDR & 2BTH in DT Manhattan,431972091,Rosie,Manhattan,Financial District,40.702960051487395,-74.01115119744591,Entire home/apt,399,3,0,,,3,123,0,OSE-STRREG-0026757
987735186033425429,Renovated Bathroom 5min to 74st Express subway,204704622,Momoyo,Queens,Jackson Heights,40.75033160126646,-73.89375056544014,Private room,33,30,0,,,235,47,0,
599256513633250977,Country farmhouse studio in the heart of Astoria.,448645046,Tom,Queens,Astoria,40.76664,-73.91744,Entire home/apt,100,30,6,2023-12-01,0.27,1,363,2,
1000140168422601037,"Room in 3BR/2BA APT, 4mins> 61 St Station (7train)",501499086,CrossOver,Queens,Woodside,40.744212011722546,-73.90166158218769,Private room,103,30,0,,,166,270,0,
985630795755726806,New Kitchen&Bath : 5min  Subway. 20min TimeSQ.,204704622,Momoyo,Queens,Jackson Heights,40.74873709699744,-73.89484545764904,Private room,34,30,0,,,235,31,0,
45218458,MINI PALACE! Artistic apartment in CARROLL GARDENS,15856385,Patrick,Brooklyn,Carroll Gardens,40.68192,-73.99712,Entire home/apt,295,30,3,2022-04-05,0.09,1,83,0,
1023842553121282451,Charming Private Bedroom,536778503,Kristina,Brooklyn,Flatbush,40.636064153681794,-73.95224257799035,Private room,36,30,0,,,12,253,0,
1145088,Large 2BR Astoria Park w Adjustable Bed & Laser TV,6278387,Ben,Queens,Astoria,40.77372,-73.93024,Entire home/apt,110,30,18,2024-02-24,0.14,1,53,2,
115748,1 BDRM Apt-Weekend Sublease,585166,Lilly,Queens,Astoria,40.76406,-73.92266,Entire home/apt,110,30,41,2023-09-23,0.27,1,88,3,
1085440595092984404,Quiet Relaxing centrally located,24146326,Julien,Queens,Long Island City,40.762608382018655,-73.9277084004083,Entire home/apt,108,30,0,,,9,90,0,
835386781729378758,Pets Allowed Here! Enjoy Walking Tours in NYC!,496944100,RoomPicks,Manhattan,Tribeca,40.71655382794994,-74.00953732937853,Entire home/apt,,30,0,,,180,342,0,
993542457889639564,Cozy Modern Brooklyn Retreat | Private Dream!,538135270,Desrene,Brooklyn,Flatlands,40.62632571428857,-73.93269954470335,Entire home/apt,92,30,1,2023-11-15,0.26,1,269,1,
771790426347751108,2bedroom apt in brownstone with office,50820799,Alicia,Brooklyn,Crown Heights,40.67349525113948,-73.95715152684402,Entire home/apt,130,30,36,2024-02-02,2.83,1,42,35,
958076669143568111,Spring House • Biggy 1-Bedroom • No8,399865453,Fenix,Manhattan,Nolita,40.7214556,-73.9944242,Entire home/apt,139,30,2,2023-11-02,0.38,28,0,2,
1080495790493155426,Stylish Modern Female Twin room in Brooklyn,303156931,Leo,Brooklyn,Bushwick,40.69,-73.9078,Shared room,25,30,0,,,36,237,0,
987691107353734787,New Kitchen&Bath : 5min  Subway. 20min TimeSQ.,200239515,Shogo,Queens,Jackson Heights,40.74954,-73.89364,Private room,38,30,0,,,254,31,0,
11069190,"Mi Casa, Tu Casa.",390251,Lilly,Manhattan,Harlem,40.80192,-73.95255,Private room,68,30,3,2022-06-25,0.04,1,22,0,
50723925,3 Bedroom Apartment in Brownstone Duplex,41602405,Maria,Brooklyn,Bedford-Stuyvesant,40.69174,-73.94107,Entire home/apt,,30,64,2023-09-21,1.96,2,0,14,
664858490982848128,☆☆Private bathroom - You have your own bathroom☆☆,204704622,Momoyo,Queens,Elmhurst,40.73919192139268,-73.87554679146126,Private room,45,30,0,,,235,25,0,
736420734072697799,Good location  2min from station! 5Lines u can use,19303369,Hiroki,Queens,Woodside,40.74627,-73.89329,Private room,39,30,0,,,273,30,0,
46737074,纽约之家(PrivateBathroom1)Short Stay available,45600001,Amy,Queens,Flushing,40.74661,-73.83398,Private room,78,30,30,2023-11-19,0.86,9,90,11,
49226616,One bedroom apt in Williamsburg - Prime location!,393692728,Gigi,Brooklyn,Williamsburg,40.71696,-73.95973,Entire home/apt,151,30,2,2023-08-09,0.06,1,230,1,
3489242,Location Verona,3250450,Petya,Queens,Maspeth,40.73544209924837,-73.89939231948472,Private room,40,30,8,2019-06-12,0.07,18,358,0,
995017187155167022,Renovated 2022@Queens apartment.,204704622,Momoyo,Queens,Woodside,40.74219,-73.89499,Private room,33,30,0,,,235,30,0,
821694666164845198,Gateway Experience | *Parking included,500002037,Brittany,Brooklyn,East New York,40.65682789013305,-73.8812972513206,Entire home/apt,150,30,14,2023-06-23,1.09,1,171,11,
826824166178870829,2 BEDS Good Vibes,211115242,Hardik,Queens,Astoria,40.76310659983251,-73.92008569338981,Entire home/apt,120,30,4,2023-08-18,0.41,1,364,4,
930999578736424710,Subway 69 St station is 8min walk,204704622,Momoyo,Queens,Woodside,40.74230402747115,-73.89620561549548,Private room,42,30,0,,,235,48,0,
965709633075349012,"Blueground | Nolita, w/d, nr shopping & groceries",107434423,Blueground,Manhattan,Nolita,40.7232902,-73.9946655,Entire home/apt,298,31,0,,,842,357,0,
570797,Room for Two in Midtown West,1900800,Grisel,Manhattan,Hell's Kitchen,40.76119,-73.99225,Private room,100,30,22,2023-10-16,0.16,3,293,2,
9359933,Private Room & Modern Feel,1733622,Nathan,Brooklyn,Crown Heights,40.6725,-73.93521,Private room,,30,3,2016-01-01,0.03,1,0,0,
991236862659991689,Fun house,436311597,Devora,Brooklyn,Crown Heights,40.67672898804211,-73.94262966616517,Entire home/apt,225,1,16,2024-02-16,3.53,10,98,16,Exempt
823980443835339124,Hudson Yards Furnished Apartment Room Rental,424296351,Michael,Manhattan,Hell's Kitchen,40.75568897389921,-73.99418912370446,Private room,89,30,0,,,74,363,0,
54318636,Tonel Paradise 1 BR APT private entrance,440220965,Marc,Queens,Rosedale,40.65903,-73.73405,Private room,98,1,82,2024-03-05,3.18,2,74,36,OSE-STRREG-0000036
776848680387012462,Your Private Apartment in New York,209291827,Katie,Queens,Astoria,40.764206380697054,-73.90776978515015,Entire home/apt,140,30,9,2023-12-21,0.66,1,57,6,
46797041,7/E/F/M/R Subway train take you anywhere you want,19303369,Hiroki,Queens,Woodside,40.74303,-73.89592,Private room,36,30,2,2023-07-01,0.13,273,30,1,
